구분,내용
교육목적,"컴퓨터공학과에서는 “IT 기술 혁신을 선도하는 컴퓨터 엔지니어 양성”의 비전을 바탕으로 전문 지식을 갖춘 혁신적 인재, 열린 사고와 소통 능력을 갖춘 융합적 인재, 사회적 책임을 실천하는 윤리적 인재를 양성하는 교육목표를 설정하고 합리적인 실천 전략을 통해 4차 산업혁명 시대의 사회에서 요구하는 인력 양성을 목적으로 한다."
교육목표1,컴퓨터공학 분야 전문 지식을 갖춘 혁신적 인재 양성: 체계적인 교육 과정을 통하여 기본을 충실히 다지고 다양한 실무 능력을 갖추고 주어진 공학적 문제를 해결하기 위하여 적절한 시스템을 설계 및 개발 할 수 있고 빠르게 변하는 기술 발전을 주도하는 실무 능력을 배양한다.
교육목표2,"열린 사고와 소통 능력을 갖춘 융합적 인재 양성: 다양한 주제의 개인 과제 수행을 통하여 열린 사고력을 함양하고, 팀 기반 과제 수행을 통해 같은 전공 분야 또는 다른 전공 분야의 전문가들과 협력하기 위한 의사소통 능력을 배양하며, 타 분야와 협력을 통한 융합 문제 해결 능력을 배양한다."
교육목표3,"사회적 책임을 실천하는 윤리적 인재 양성: 우리나라 구성원이자 전문 지식인으로서 윤리의식과 책임감을 함양하고, 국가와 지역 사회 문제에 관심을 갖는 참여 정신을 가지고, 공공의 이익을 위해 노력하는 실천적 자세를 함양한다."
